base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.879427663658958
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,6,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8716729461520446
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0.1,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0.7,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",10.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",20.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",50.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8951414127797535
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",100.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8911739963300214
0.5,gbtree,1,0.4,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.4,0,200,sample.model,0.8963993686212431
0.5,gbtree,1,0.6,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.4,0,200,sample.model,0.8974932293737435
0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.4,0,200,sample.model,0.8966738178700263
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.4,0,200,sample.model,0.8949881508559346
0.5,gbtree,1,0.4,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.6,0,200,sample.model,0.896417622181634
0.5,gbtree,1,0.6,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.6,0,200,sample.model,0.8949934977554681
0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.6,0,200,sample.model,0.8962409977400189
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.6,0,200,sample.model,0.8965685420750789
0.5,gbtree,1,0.4,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,sample.model,0.8973152690570384
0.5,gbtree,1,0.6,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,sample.model,0.8976275714992131
0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,sample.model,0.8965319805675248
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,sample.model,0.8976743985100036
0.5,gbtree,1,0.4,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1.0,0,200,sample.model,0.8970214003314372
0.5,gbtree,1,0.6,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1.0,0,200,sample.model,0.8963396111553823
0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1.0,0,200,sample.model,0.8969999345523181
0.5,gbtree,1,1.0,0.2,"['error', 'logloss', 'auc']",0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1.0,0,200,sample.model,0.8969629821398396
