base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,0.8,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.4,0,200,sample_exact.model,0.8653763312071752
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.4,0,200,sample_exact.model,0.8649597285327779
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.4,0,200,sample_exact.model,0.8648009225573767
0.5,gbtree,1,0.6,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,sample_exact.model,0.8656881373700546
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,sample_exact.model,0.8657061257949314
0.5,gbtree,1,0.8,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,sample_exact.model,0.8652977355231233
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,sample_exact.model,0.8653400756252145
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.5,0,200,sample_exact.model,0.865317889221365
0.5,gbtree,1,0.6,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,sample_exact.model,0.8654607768684031
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,sample_exact.model,0.8654645465515453
0.5,gbtree,1,0.8,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,sample_exact.model,0.8658292642453455
0.5,gbtree,1,0.9,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,sample_exact.model,0.865098849895847
0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,sample_exact.model,0.8656507634600922
0.5,gbtree,1,0.6,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,sample_exact.model,0.8654773172454723
0.5,gbtree,1,0.7,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,sample_exact.model,0.8655241476554363
0.5,gbtree,1,0.8,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.9,0,200,sample_exact.model,0.865417104290395
